TEAM,CONF,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB,SEED,YEAR
Sam Houston St.,CUSA,32,13,110.3,109.9,0.5102,51,53.1,18.3,17.2,30.3,32.2,36.3,33.2,46.9,52.3,38.3,36.2,67.7,-11.7,N/A,2015
Cal Baptist,WAC,32,17,105,104.6,0.5098,48.3,50.1,17.7,18.1,33.3,29.6,29.7,33.4,48.6,50.3,31.7,33.2,65.8,-9.6,N/A,2015
Temple,Amer,32,17,110.5,110.4,0.5026,49.9,50.6,15.7,15.1,32,31.2,45.2,36.4,48.2,51,35.8,33.3,68.7,-9.6,N/A,2015
James Madison,SB,32,20,110,110,0.5013,50.7,50.9,15.8,15.6,32,30.5,30.4,33.4,50,49.6,34.3,35.5,64.9,-7.4,N/A,2015
Western Kentucky,CUSA,32,17,103.1,103.1,0.501,47.9,47.4,15.5,17,23.5,28.1,32.1,40.6,48,48.7,31.7,30.5,71.8,-8.3,N/A,2015
Rhode Island,A10,31,18,107.6,107.7,0.4973,52.8,49.3,17.9,16,28.3,28.6,41.1,30.8,53.3,50.6,34.6,31.5,70.4,-7.8,N/A,2015
Charleston,CAA,33,24,105.2,105.3,0.4969,52.4,50.1,16.2,16.4,26.5,28.3,34.6,26.5,51.8,51.4,35.5,32.1,70.2,-4.6,N/A,2015
Murray St.,MVC,33,16,104.7,104.9,0.4957,49.3,51.2,16.9,17.3,29.1,26.4,41.2,35.5,48.6,52.6,33.6,32.1,64.7,-10.7,N/A,2015
Milwaukee,Horz,32,21,106,106.3,0.4931,51.4,51.5,19.4,18.3,39.8,26.6,38,32.4,53.1,52.2,31.9,33.6,68.6,-7,N/A,2015
Appalachian St.,SB,31,17,100.5,100.9,0.4885,49.6,46.1,16.9,14.8,27.6,29.6,35.1,22.2,48.7,47,34,29.8,63.1,-9.5,N/A,2015
Florida Gulf Coast,ASun,32,18,107.4,108.1,0.4831,53.9,50.5,16.2,14.3,30,26.5,23.1,29.5,54.1,48.9,35.7,35.1,65.2,-9.2,N/A,2015
East Tennessee St.,SC,32,19,104.8,105.5,0.4824,50.3,50.3,16.1,18.9,35.7,29.8,33.2,34.3,48.9,49.5,34.7,34.2,65,-9.3,N/A,2015
Towson,CAA,33,22,106,106.8,0.4801,47.9,50.8,14.5,17.3,35.3,28,28.4,30.7,46.7,50.7,33.4,34.1,63.5,-5.9,N/A,2015
Nicholls St.,Slnd,33,20,105.5,106.2,0.4801,48.1,48.1,15.3,16.7,30.6,31.5,33.1,35.9,45.6,49.9,35,30.1,68.1,-7.5,N/A,2015
Winthrop,BSth,34,23,107.4,108.2,0.4781,53.3,51.4,17.7,18.7,31.2,31.5,47.7,37.1,55,50.6,33.8,35.2,72.6,-6.2,N/A,2015
UNC Greensboro,SC,32,20,105.4,106.2,0.478,50.7,47.8,15.3,16.4,31.1,30.1,29.8,34,48,48.7,36.2,31,63.7,-7.7,N/A,2015
Marshall,SB,33,20,105.6,106.6,0.4739,49.9,49.3,16.5,16.8,33,29.6,34.8,40.9,51,49.7,32.3,32.2,68.6,-8.8,N/A,2015
Boston College,ACC,31,12,105.2,106.2,0.4713,48.9,51.9,17.3,15.5,28.8,30,31.5,37.1,47.5,51.3,34.5,35.2,66.7,-9.8,N/A,2015
Cleveland St.,Horz,33,21,102.6,103.6,0.47,49.3,50.6,18.3,22.3,34.5,34.1,31,38.1,49.6,49.8,32.5,34.5,65.5,-7.8,N/A,2015
Lamar,Slnd,33,20,101.2,102.3,0.4695,47.2,47.6,19,17.7,35.5,31.8,29,34.8,44.3,47.9,35.6,31.4,65.3,-7.4,N/A,2015
Purdue Fort Wayne,Horz,32,19,107.5,108.8,0.4643,54.7,53.3,13.8,20.1,22,32.8,29.1,30,54,56.2,37.1,32.6,69.6,-8.6,N/A,2015
Dartmouth,Ivy,28,14,100.5,101.8,0.4627,50.3,49.1,16.2,13.8,22.8,24.9,30.3,23.2,49.8,52.1,33.9,29.6,70.7,-10.6,N/A,2015
Eastern Kentucky,ASun,32,18,109.4,110.8,0.4619,49.7,52.6,13.8,17.8,32.4,33.2,26,31.8,47.7,52.1,34.9,35.5,67.6,-8.7,N/A,2015
Cal Poly,BW,35,16,108.9,110.5,0.4585,55.2,53.2,20.7,19.1,27.6,33.2,26.8,32.4,56,54.3,36.3,34.4,74.4,-11.5,N/A,2015
Rice,Amer,32,13,106.3,107.9,0.4579,48.6,47.8,17.8,14,33.7,29.6,43.3,35.9,47.8,47.5,33.2,32.1,65.4,-14.2,N/A,2015
Southern Illinois,MVC,33,14,106.1,107.7,0.4572,51.6,52.6,18.3,15.2,30.3,28,34.2,33.7,51,51.5,35.1,36.1,67.8,-12.9,N/A,2015
UTSA,Amer,31,12,107,108.8,0.4507,49.7,53.3,15.7,20.6,27,35.5,29,43.9,46.1,53.2,36.1,35.7,69.7,-12.8,N/A,2015
East Carolina,Amer,33,19,106.3,108.2,0.449,48.4,51.7,15.6,17.4,33.8,31.2,35.2,31.6,49.3,48.5,31.2,38.4,66.5,-8.9,N/A,2015
Portland St.,BSky,32,19,100.8,102.7,0.4483,50.5,50,18.4,19.6,33.4,30.4,34.3,34.9,51.7,51.6,32,31.7,68.2,-9.3,N/A,2015
Miami FL,ACC,31,7,112.5,114.6,0.4479,51.9,57.4,16,15,28.2,30.8,26.4,28.8,55.1,55.9,31.3,39.7,67.4,-13.5,N/A,2015
Drexel,CAA,33,18,103.6,105.6,0.4473,52.2,47.8,18.6,14.4,33,30.1,24.2,28.2,51.9,48.1,35,31.6,62.9,-11.7,N/A,2015
Ohio,MAC,32,16,106.4,108.4,0.4473,53.4,52.3,14.9,17.8,23.9,29,33.5,36.4,53.9,50.4,35,37.6,70.3,-11.8,N/A,2015
Montana St.,BSky,33,15,104.7,106.7,0.4462,52.8,48.8,15.1,15.3,20.7,29.4,31.9,31.9,53.8,50.6,34.3,29.8,65.9,-12,N/A,2015
South Carolina St.,MEAC,33,20,102.4,104.4,0.4449,50.8,50.1,19.9,22.8,35.7,32.7,42.9,47,50.2,51.8,34.7,31.1,69.1,-9.2,N/A,2015
Wyoming,MWC,32,12,103.1,105.2,0.443,50.3,51,19.9,15.8,30,27.2,30.4,41.1,49.5,51.7,34.4,33.3,64.5,-10.8,N/A,2015
Jacksonville,ASun,32,19,101.2,103.6,0.4346,50.1,50.7,19.3,18.7,35.3,30.5,28.2,34.5,47.3,50,37,34.6,67.3,-7.5,N/A,2015
Illinois Chicago,MVC,32,18,105.4,107.9,0.4336,51.1,51.6,17.5,15.8,30,27.9,35.1,31.6,51.1,51.6,34,34.4,69,-8.4,N/A,2015
Queens,ASun,33,19,105.9,108.5,0.432,52.3,51.7,18,16,31.1,28.7,33.7,32.1,52.6,51.4,34.6,34.8,68.4,-8.6,N/A,2015
Oakland,Horz,34,16,106.3,108.9,0.431,50.1,51.4,18,16.2,34.1,32.6,31.7,27.8,53.2,49.7,30.6,35.9,63.6,-11.2,N/A,2015
Central Connecticut,NEC,32,25,99,101.5,0.4277,52.2,47.7,17.2,18.1,26.5,25.3,25.9,18.9,53.7,49,32.9,30.6,65.5,-4.7,N/A,2015
Norfolk St.,MEAC,34,24,106.2,109,0.4254,52.4,49.7,18.3,18.6,32.8,33.8,39,34.9,54.5,48.9,31.3,33.9,66.3,-5.3,16,2015
Northeastern,CAA,32,17,103.9,106.9,0.418,51.1,50.3,18.6,18.2,31.4,31.4,28,30.3,51.3,49.2,33.7,34.9,67.4,-11,N/A,2015
Southeast Missouri St.,OVC,33,21,101.5,104.5,0.4175,51.3,47.6,15.4,19,24,28.7,28.9,42.8,51.1,48.8,34.5,30,68.8,-8.7,N/A,2015
Pepperdine,WCC,35,13,106.3,109.5,0.4163,49.6,52.5,16.1,15.3,27.7,30,31.6,27.2,48.9,53.3,34,34.2,69,-12.4,N/A,2015
Merrimack,MAAC,33,18,98.3,101.3,0.4163,49.4,46.9,13.8,23.2,20.8,38.6,24.4,29.9,49.3,47.2,33,31,64.4,-9.9,N/A,2015
Abilene Christian,WAC,32,16,98,101,0.4146,46.7,51.4,20.7,24,30,31.5,37.2,51.3,47.8,52.6,28.9,32.6,69.1,-10.5,N/A,2015
Brown,Ivy,27,14,102.4,105.6,0.4117,51.1,49.3,17.1,15.7,30.1,30.7,28,29.1,52.1,49.2,33.1,32.9,65.7,-8.7,N/A,2015
South Florida,Amer,32,13,102.3,105.5,0.411,49.7,49.7,16.2,18.3,27.7,33.2,34.9,36.7,51.1,49.6,31.6,33.3,68.2,-12.5,N/A,2015
Indiana St.,MVC,32,14,108.3,112.1,0.4017,54.6,54.3,19.5,15.8,26.2,27,35.9,38.8,56.6,54.5,35,35.9,72.3,-12.5,N/A,2015
