TEAM,CONF,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,POSTSEASON,YEAR
Xavier,BE,55.9,49.9,17.2,15.7,30.2,23.1,41,25.6,55.9,49.8,37.2,33.4,71.7,2,2018
Villanova,BE,53.2,50.4,16.9,18,30.3,27.7,34.4,28.2,53.7,49.7,35.2,34.3,65.1,2,2019
Liberty,BSth,55.9,48.9,17.2,20.5,25.2,26.4,26.7,32.7,56.4,48.3,36.8,33.3,63.5,2,2019
Hawaii,BW,51.9,44.9,18.1,19.8,30.4,26.4,45.4,40.2,54.1,44.8,32.2,30,71.4,2,2016
UC Irvine,BW,51.3,44.1,17.5,16.7,33.7,27,28.7,33,50.1,40.7,35.9,33.9,66.6,2,2019
UAB,CUSA,47.6,47.6,20.1,19.7,34.2,33.1,35.7,33.6,46.6,47.4,33.2,31.9,65.3,2,2015
Middle Tennessee,CUSA,51.7,49.4,17.1,19.4,28.7,25.7,34.9,42.4,47.8,48,39.2,34.7,68.5,2,2016
Middle Tennessee,CUSA,54.1,47.9,15.6,19.8,30.1,23.8,30,38.2,53.6,47.1,36.9,32.8,65.8,2,2017
Marshall,CUSA,54.7,49.9,17.2,18.4,22.4,32.3,33.1,28.9,55.5,48.7,35.9,35,75.9,2,2018
Yale,Ivy,52.2,46.7,19.9,17.8,39.3,24.3,41.7,33.3,51.4,45.5,36,32.7,66.8,2,2016
Buffalo,MAC,54.8,48.8,16.5,18.1,31.9,29.1,29.9,39.5,54.3,48.4,37.1,33.1,73.8,2,2018
Buffalo,MAC,53.4,47.3,16,20.3,31.7,26.9,32.7,31.9,55.7,49.3,33.7,29.3,74.9,2,2019
Northern Iowa,MVC,55.9,45.6,17.8,19.2,27,26.9,39.8,27,53.3,44,39.8,32.1,58.5,2,2015
Northern Iowa,MVC,53.2,48.7,15.2,18.5,17.7,27.4,34.1,24.8,51.3,48.9,37.2,32.4,63.7,2,2016
Wichita St.,MVC,48.9,44.7,14.7,23.2,31.7,23.6,37.4,45.4,49.2,42.1,32.3,32.7,66.8,2,2016
Wichita St.,MVC,54.2,43.8,16.2,19.3,34.2,24.2,40.4,35.1,50.7,42,40.2,31.2,70,2,2017
San Diego St.,MWC,46.6,43.5,18.6,21.1,35.7,29.7,36.2,25.7,45.9,42.3,32,30.6,61.2,2,2015
Murray St.,OVC,54.8,46.5,17.2,19.4,32,30.7,33.5,27.4,56.2,48.3,34.9,28.9,70.2,2,2019
Oregon,P12,52.3,48,16.9,16.7,30.2,31.5,29.1,35.4,50.8,47.1,36.9,33.2,66.9,2,2015
Utah,P12,55.1,48,18.2,15.3,29.2,27.8,37.9,23,55.5,44.5,36.3,37.1,66.9,2,2016
USC,P12,52.2,50.1,15.7,17.9,31,31.4,36.8,24,51,47.2,36.2,36.8,70.1,2,2017
Washington,P12,52.1,47.5,19.8,24.2,29.1,34.9,34.7,34,51.9,46,35,33.4,67.3,2,2019
Georgia St.,SB,52,45.8,16.3,23.2,30,34.8,37.7,39.8,53.4,43.1,32.2,33.1,63.2,2,2015
Arkansas Little Rock,SB,51.9,45.9,15.6,21,26.7,29.5,31.5,38.3,48.9,45.7,38.2,30.9,63.8,2,2016
Wofford,SC,57.5,49.9,16.1,19.1,31.8,25.2,27.8,31.8,53.9,50.6,41.4,32.6,67.1,2,2019
Arkansas,SEC,50,48.3,16.9,22.3,35.7,34.6,37.3,38.8,48.8,46.2,34.9,35.2,69.9,2,2015
Kentucky,SEC,53.5,44.5,16.2,18,37.5,31.9,37.8,40.8,52.9,42.7,36.6,32.6,68.2,2,2016
Arkansas,SEC,51.4,47.8,16.6,18.5,31.9,34.2,38.1,39.1,50,46.7,36.5,33.2,71,2,2017
Alabama,SEC,51.9,47.8,20.3,18.7,29.4,30.9,41.9,36.5,53.5,46.9,32.6,32.8,69.9,2,2018
Auburn,SEC,50.8,49.7,16.4,20.7,32.1,28,39.8,38.1,48.7,47.7,35.7,35.1,73.8,2,2018
Florida,SEC,50.8,48.7,14.3,20,28.7,30.5,32.6,32.4,47.6,46.6,37,35.2,68.5,2,2018
Tennessee,SEC,50.8,46.7,17.9,20.4,33.4,31.1,35.5,37.6,47.3,46.1,38,31.8,67.1,2,2018
Florida,SEC,49.8,48.1,17.9,22.4,30.6,32.2,29.9,33.6,49.5,48.5,33.4,31.6,64.3,2,2019
Stephen F. Austin,Slnd,54.8,49.5,17.7,25.9,33.5,30.7,34.3,40.2,54.5,49.7,36.9,32.8,68.2,2,2016
Saint Mary's,WCC,57.8,45.3,17.5,15.3,33.1,21.9,27.8,26.6,56.9,45.4,39.4,30,61.2,2,2017
Wichita St.,MVC,52.4,44.7,16.2,18.2,35,26.2,46.9,35.7,52.3,43.6,35,31.1,65.1,2,2014
Kansas,B12,54.2,47.1,19.1,16.4,37.3,28.8,48.3,45.5,55.5,44.3,34,35.5,68.2,2,2014
Villanova,BE,53.6,46.3,17.3,20,32.6,28.7,44.5,38.6,53.8,43,35.6,35.3,67.6,2,2014
Creighton,BE,58.9,48.5,15,14.8,27.7,27.8,33.9,33,56.3,47,41.4,34.2,65.4,2,2014
Syracuse,ACC,48.2,48,14.8,21.9,38.1,31.5,38.2,36.7,47.7,45.5,33.1,34.5,61.5,2,2014
Saint Louis,A10,49.6,44.4,18.6,21,28.8,29,40.3,35.6,50.5,44.4,31.7,29.6,67.5,2,2014
North Carolina,ACC,49.9,47,16.9,19.3,38.1,31.3,42.9,41.4,49.7,46.7,33.6,31.7,70.8,2,2014
Oregon,P12,53.5,49.1,16.1,18.9,32.2,31.9,43.8,47.8,51,49.4,38.9,32.4,69.3,2,2014
Texas,B12,47.4,46.5,17.5,16.3,39.6,30.2,43.4,41,46.9,42.9,32.7,35.2,68.7,2,2014
Gonzaga,WCC,55.2,44.6,17.4,17.4,30.6,29.5,41.2,38.6,53.6,43.3,39,31.8,66.5,2,2014
Memphis,Amer,51.9,48.4,18.6,20.3,35.8,33.3,39.5,33.8,52.7,49.2,33,31,69.5,2,2014
Pittsburgh,ACC,50.7,46.7,16.3,19.2,37.2,29,44.3,36.4,50.1,45.5,35.1,32.6,63.8,2,2014
Harvard,Ivy,52.1,46.2,17.6,21.1,32.3,29.3,48.4,36.3,49.7,44.9,38.6,32.7,65.5,2,2014
North Dakota St.,Sum,54.5,49.8,15.6,17.1,30.6,27.9,41.6,40.2,55.4,46.1,34.7,37.8,64,2,2014
Stephen F. Austin,Slnd,52.3,50.5,16.9,23.6,38.2,28.9,39.9,50.7,52.3,50,34.9,34.7,63.5,2,2014
Mercer,ASun,54,46.8,17.5,19,32,31.1,37.3,41,51.6,46.9,38.8,31,65.2,2,2014
Gonzaga,WCC,54.9,44.9,17.2,20.8,37.8,29.8,40.8,29.9,55,42.1,36.5,32.9,65.1,2,2013
Saint Louis,A10,50.4,45.5,17.6,23.6,27.9,29.1,44,35,50,44.1,34,33.1,64.7,2,2013
VCU,A10,51.3,49.9,16.9,28.5,36.6,34.7,29.8,40.3,50.5,50.1,35.1,32.9,68.1,2,2013
Butler,A10,50.7,46.7,20.2,17.4,35.9,26.3,38.4,36.1,50.2,45.3,34.3,33.2,64.7,2,2013
Memphis,CUSA,52.4,45.5,20.7,22.1,35.6,31.1,37.2,34.9,51.1,43.8,37.2,33,69.3,2,2013
San Diego St.,MWC,48.5,44.7,18.1,18.2,31.8,27.9,35.3,28.9,48.3,43.3,32.7,31.8,66.8,2,2013
Illinois,B10,47.5,48.7,17.6,21.7,33.6,33,31,36,47.4,47.4,31.7,34.1,66.1,2,2013
Creighton,MVC,58.2,45.9,18.9,16.1,28.8,27.2,34.2,26.1,55.7,45.5,41.4,31.2,65.2,2,2013
Colorado St.,MWC,49.2,48.6,17.2,16.5,41.4,23.2,44.1,36.4,48.4,47.1,34.1,34.1,64.8,2,2013
North Carolina,ACC,49.3,48,17.2,21.5,34.6,31.6,28.2,27.1,46.3,46.3,37.2,34.4,71.4,2,2013
Temple,A10,49,49,15.9,20.1,30.8,31.4,35.6,34.1,48.8,47.3,32.8,35.3,66.8,2,2013
Iowa St.,B12,53.8,48,18.5,18.6,34.2,28.5,33,32.7,51.9,48.8,37.4,31.1,69.6,2,2013
Minnesota,B10,49.3,45.6,21.6,20.2,43.6,33.2,41.6,36.7,48.8,42.8,33.7,33.9,64.1,2,2013
California,P12,48,44.3,18.9,16.8,32.5,30.7,31.2,32.5,48.8,41.7,30.2,33.6,66.5,2,2013
Mississippi,SEC,49.1,46.4,15.9,21.5,34.1,31.8,38.8,31.1,49.4,46.2,32.4,31.3,70.9,2,2013
Harvard,Ivy,54.3,49.2,20.8,20.9,25.6,31.4,49.6,31.2,51.5,48.9,39.8,33.3,64.7,2,2013
Davidson,A10,55.4,49.3,14.1,17,29.6,30.4,28.5,34.6,53.1,51.4,38.7,30,67.2,1,2015
VCU,A10,48.7,49.5,15.7,23.5,31.8,30.6,37.3,37.8,46.9,48.3,34.3,34.5,67.2,1,2015
Dayton,A10,51.6,46.9,18.6,18,28.7,24.2,40.8,32.8,51.5,43.7,34.4,34.9,68.5,1,2016
Dayton,A10,53.6,47.7,16.9,20.9,25.6,27.4,43.4,35.2,51,47.2,38.4,32.3,69.6,1,2017
VCU,A10,51,47.5,17.8,21,31.3,27.5,36.4,40.9,51.5,46,33.1,33.8,70.1,1,2017
Davidson,A10,57.4,51.2,14.5,16.2,22.6,23.4,24.6,29.6,56.5,50.3,38.9,35,65.5,1,2018
St. Bonaventure,A10,51.6,49,16.3,20.4,29.3,29.1,40.5,38.4,48.5,49.7,38.6,32,70.4,1,2018
Saint Louis,A10,46.7,46.9,19.3,19.4,36,25.1,39.4,33.5,47.2,46.7,30.4,31.4,67.7,1,2019
VCU,A10,50.1,43.5,20,23.4,31,30.6,35.7,36.6,53.1,43.8,30.5,28.5,69.7,1,2019
Pittsburgh,ACC,51.1,50,17.5,16.9,36.9,27.5,36.1,32.4,50.4,48.4,35,35.4,66.3,1,2016
Miami FL,ACC,51,47.6,19.5,18.3,33.4,28.2,34.3,28.7,49.8,46.6,35.6,33,64.6,1,2017
Virginia Tech,ACC,56.9,51,17.2,16.5,23.4,30.5,40.9,27.3,54.6,49,40.3,36.3,70,1,2017
Miami FL,ACC,53.1,49,16.8,18.8,29.1,28.2,29.1,28.1,52.2,48.8,36.4,32.8,68.2,1,2018
North Carolina St.,ACC,53.4,51.6,16.8,20.4,33.4,32,34.2,33.7,52.1,53.6,37.2,31.6,72.8,1,2018
Virginia,ACC,52.7,44.3,14,20.9,27,25.6,24.5,26.2,50.1,42.8,38.3,31,60.5,1,2018
Virginia Tech,ACC,57.7,50.4,17,18.6,23.9,29.4,36.5,29.4,57.3,49.2,38.8,34.7,70.2,1,2018
Louisville,ACC,50.9,46.7,17.5,16.1,29.1,25.9,34.9,32,50.6,46,34.2,32,68.6,1,2019
Syracuse,ACC,49.6,48.1,18.5,23.1,30.2,33.4,36.8,34.3,49.3,46.9,33.3,32.9,67.3,1,2019
Albany,AE,49.9,49.6,18.8,20.1,32.6,26,39,30.4,47.9,46.2,35.8,36.2,61.3,1,2015
Stony Brook,AE,52.2,47.6,17.3,18.4,34.8,26,32.2,27.6,50.7,45.8,37.2,34.1,67.8,1,2016
Vermont,AE,55.3,48.6,17,19.6,29.8,27.1,34.3,26.5,55.5,46.9,36.7,34.9,65.8,1,2017
Vermont,AE,52.6,48.7,16.8,19.1,27.3,22.2,35.9,27.5,51.6,46.3,35.9,35.1,66.7,1,2019
SMU,Amer,52.1,45.7,19.5,20.3,36.6,29.2,43.8,31.2,51.3,42.9,36.3,32.7,63.6,1,2015
Cincinnati,Amer,49.3,45.6,16.3,20.3,36.7,30.6,33.2,27,47.7,41.3,34.8,35.7,66,1,2016
Temple,Amer,47,46.4,13.8,16.2,29.1,29.7,26.6,28.7,44.9,46.3,33.7,31.2,66.5,1,2016
SMU,Amer,54.6,46,16.9,18.3,37.2,26.4,36,24.6,51,44.1,40.6,32.1,64.8,1,2017
Wichita St.,Amer,55.1,49.4,16.5,16.3,35.4,22.6,34.8,33.2,53.8,46,38.1,36.3,70.1,1,2018
Cincinnati,Amer,49,48.6,16,20.9,37.4,29.3,37.6,30.5,47.6,45.1,34.5,35.5,65,1,2019
Florida Gulf Coast,ASun,51.5,47.7,17.2,15.9,31.7,27.5,37.3,35.3,51.5,48.3,34.2,31.2,68,1,2016
Florida Gulf Coast,ASun,53.9,49.3,17.9,17.4,33.8,29.6,33.8,35.9,55.4,51,33.7,31,67.2,1,2017
Lipscomb,ASun,51.5,52,20,19.9,27.4,24.3,40.6,38.4,53.2,52.8,32.7,33.8,75.9,1,2018
Indiana,B10,54.4,50.3,17.2,15.9,35.3,31.5,32.7,32.8,50.2,50.9,40.6,32.5,67.2,1,2015
Purdue,B10,50.3,45.4,19.9,17.6,36.5,30.9,41.7,38.4,50.9,42.3,32.7,35.1,65,1,2015
Michigan,B10,54.5,51.4,14.5,17.9,24.8,26.4,27.8,27,52.6,51.1,38,34.7,66.3,1,2016
Michigan St.,B10,56.3,43.3,17.6,14.2,37.1,24.3,30,34.1,51.4,41.7,43.4,31,67.6,1,2016
Purdue,B10,53.6,44.3,17.7,13.7,35,23.4,35.4,28.1,52.8,42.9,36.7,31.4,68.9,1,2016
Maryland,B10,52.4,47.5,19,18,30.4,32.3,38.5,32.6,51,45.6,36.3,34.2,68.6,1,2017
Minnesota,B10,48.7,45.1,16.1,17.6,29.7,30.2,39.6,29.2,47.5,44.5,34.3,30.9,70.9,1,2017
Wisconsin,B10,51.1,45.2,14.6,17.2,24.5,26.5,27.3,25.8,49.7,44.1,35.9,31.5,65,1,2019
Baylor,B12,49.8,45.8,20.1,19.3,41.9,31.5,38.6,32.1,46.1,46.4,38.2,29.8,62.1,1,2015
Iowa St.,B12,54.3,47.6,15.8,18.5,28.3,29.6,36.5,24,54.3,45.2,36.2,34.7,69.8,1,2015
Oklahoma St.,B12,50.2,46.5,18.5,21.1,26.9,32.6,39,42.1,49.2,44.1,34.6,34.4,64,1,2015
Texas,B12,49.1,42.1,20.1,14,37.9,28.6,36.6,34.8,48.3,37.7,33.8,34.7,62.8,1,2015
Baylor,B12,51.6,51.2,18.6,19.8,40,28.8,38.6,38.6,49.8,49.1,37.4,36.9,67.4,1,2016
Texas,B12,49.4,47.7,15.4,18.5,30.7,32,39.5,38.4,48.5,45.8,34.1,34.5,66.3,1,2016
Texas Tech,B12,50,49.6,17.8,19,31.3,32.3,42.2,32.9,49.2,47.2,34.6,35.6,67.2,1,2016
West Virginia,B12,49.8,48.4,20,25,42,27.1,46.2,55.3,50.3,47.7,32.5,33.1,70.9,1,2016
Kansas St.,B12,52.7,49.6,19.1,22.1,29.5,32.3,41.1,33.4,51.8,45.5,36.2,38.2,67.2,1,2017
Oklahoma St.,B12,54,53.2,18.2,20.3,38.3,31.9,37.4,45.4,50.4,52.4,40.3,36.4,72.9,1,2017
Oklahoma,B12,53.5,51,17.3,16.8,28.4,30,33.2,25.6,53.3,49.1,35.9,36.2,76.7,1,2018
TCU,B12,56.5,52.3,17.8,17.4,34.2,26.1,34.1,30.5,55.1,50.1,39.4,37.6,70,1,2018
Texas,B12,50,48.3,17,18,29.4,29.1,33,26.2,51.2,47.5,32,33.2,66.6,1,2018
Iowa St.,B12,54.7,48.4,16.3,18.8,28.3,30.1,30,23.6,55,47.1,36.2,33.6,69.1,1,2019
Kansas St.,B12,49.4,48.2,17.4,22.8,28.3,25.7,30.6,30.7,48.9,49,33.4,31.4,64.9,1,2019
Providence,BE,48.4,48.2,18.1,19.7,35.2,29,40.7,39.3,48.9,47.1,31.3,33.3,65.7,1,2015
St. John's,BE,49.3,46.4,15.7,19.5,27.6,35.4,35.7,33.3,48.2,44.9,34.5,32.6,67,1,2015
Seton Hall,BE,49.8,45.4,19.4,19.5,34.7,30.8,40.4,33.8,48.8,44.3,34.7,31.7,70.4,1,2016
Creighton,BE,57.6,49.9,17.1,19.3,24.2,29.6,27.9,29.3,56.4,50.2,39.8,33,72.7,1,2017
Marquette,BE,57.5,52.2,17.3,18.3,27.1,29.2,31,35.7,52.7,50.6,42.9,36.8,71.5,1,2017
Seton Hall,BE,49.9,49,19.5,17.5,35.7,25.4,37.6,36.1,49.6,48,33.8,34.1,68.9,1,2017
Creighton,BE,57.4,50.1,15.6,15.8,22.5,24.6,26.5,24.8,58.7,50,37.2,33.6,72.3,1,2018
Providence,BE,49.6,50.3,17.4,19,28.9,29,38.6,31.8,49.5,51.5,33.2,32.2,68.3,1,2018
Marquette,BE,53.5,46.3,19.4,16.6,29.4,26.1,35.1,35.9,50,45.1,38.8,32.4,70.5,1,2019
Seton Hall,BE,49.9,49.6,17.5,19.8,29.5,29.2,34.5,32.8,50.6,48.7,32.4,34,70.4,1,2019
Eastern Washington,BSky,55.1,52.3,15.9,17.8,29.3,30.7,35.2,36,52.2,49.2,39.3,38.7,68.5,1,2015
Weber St.,BSky,54.5,47.4,19.6,15.6,25.9,25.6,45.7,28.1,55.3,45.2,35.5,35.6,67.7,1,2016
North Dakota,BSky,53.4,50.7,18.3,19.6,26,27.8,36.1,39.7,51.4,50,38.7,34.8,72.5,1,2017
Montana,BSky,51.2,48.4,17.4,21.2,33.5,26.1,38.3,41.4,51.4,46.3,33.7,35.2,69.1,1,2018
Montana,BSky,56.1,50.1,17.3,19.2,27.4,24.9,31.6,37.3,55.6,49.3,37.8,34.4,68,1,2019
Coastal Carolina,BSth,50,47.7,17.5,16.9,34.8,28,38.9,35,48.1,45.8,35.9,33.8,64.1,1,2015
UNC Asheville,BSth,49.6,49.3,18.6,22.2,31.6,29.3,41.8,33,50.2,52.1,32.1,29.6,71,1,2016
Winthrop,BSth,53.5,46.7,17.8,18.6,26.3,28.4,38.2,34.5,50.9,45.9,37.9,32.1,72.3,1,2017
Radford,BSth,49.3,50.1,18.7,20.2,32,28,31.2,31.7,47.1,48.9,35,34.6,64.2,1,2018
Gardner Webb,BSth,54.8,50.5,17.1,18.2,22.4,31.3,38.3,27.6,53.6,50.4,37.7,33.7,68.7,1,2019
UC Irvine,BW,50.7,44.7,18.2,17.2,30,30.7,30.2,35.3,47.8,42.4,38.2,33.6,63.9,1,2015
UC Davis,BW,48.4,48.7,20.3,19.6,29.1,28.3,40.8,33.1,46.9,48.5,34.5,32.6,70.3,1,2017
Cal St. Fullerton,BW,51.6,48.2,20.7,18.2,26,28.9,45.6,35.2,52,45,33.8,36.4,70.7,1,2018
Northeastern,CAA,54.5,49.8,21.5,15.5,30.1,25.3,41.4,25,53,49.1,38.6,34.4,63.6,1,2015
UNC Wilmington,CAA,51.2,47.5,15.9,19.9,32.1,30.1,35.6,55.2,51,46.1,34.4,33.9,71.3,1,2016
UNC Wilmington,CAA,55,53.2,13.9,20.1,32.5,28.5,30.8,39.6,55.7,54.2,36.1,34,71.5,1,2017
College of Charleston,CAA,52.7,49.9,15.1,17.8,25.5,27.9,36.6,32.1,52,48.7,35.9,34.6,66,1,2018
Northeastern,CAA,56.5,52.1,16.6,16.7,22.7,24.6,34.3,27.8,55.8,53,38.2,33.7,67.5,1,2019
Old Dominion,CUSA,47.2,45.6,17.8,18.5,32.1,24.8,28.9,32.4,44.1,43.5,34.9,32.4,65.9,1,2019
Valparaiso,Horz,51.3,45.2,19,18.6,34.7,27.4,36.6,33.4,48,42.3,38.4,33.4,63.1,1,2015
Green Bay,Horz,49.8,51.5,15.8,21.1,30.9,32,42.2,35.8,48.5,50,35,36.3,77.3,1,2016
Northern Kentucky,Horz,52.4,49.7,18.8,17,31.2,26.4,36.5,30.5,51.6,50.2,35.7,32.4,69.3,1,2017
Wright St.,Horz,48.6,48.3,18.6,21,28.7,25.3,35.3,29.9,47.7,45.8,33.5,34.7,69.3,1,2018
Northern Kentucky,Horz,54.6,49.1,17.8,18.4,30.6,26,34.8,35.2,55,49.9,36,32,69.3,1,2019
Harvard,Ivy,47.1,46.6,18.4,20.1,32.4,28.4,38.9,32.9,45.5,44.5,34.3,34,61.6,1,2015
Princeton,Ivy,53.2,48.7,15.2,20.2,24.1,24.7,24.4,32,50.5,46.9,37.6,34.5,64.2,1,2017
Penn,Ivy,52.9,47,16.6,17,23.8,22.6,33.4,31.8,53.3,48,34.8,30,70.1,1,2018
Yale,Ivy,55.6,47.3,17.8,15.2,26.3,24.6,30.1,31.1,56,47.8,36.5,31,72.2,1,2019
Iona,MAAC,53.8,48.8,17.6,19.2,29.2,31,32.4,36.3,52.5,46,37,35.8,72.6,1,2016
Iona,MAAC,53.4,50,16.5,18,27,32.1,31,33.4,49.3,47.7,39.7,36.1,71.7,1,2017
Iona,MAAC,53.9,52.5,16,18.8,24.5,30.8,30.2,28.6,51.5,51.7,38.3,35.8,71.5,1,2018
Iona,MAAC,53,52.3,17.3,18.5,25.1,30.7,36.8,28.5,53.2,50.3,35.1,36.6,71.9,1,2019
Buffalo,MAC,48.7,48.5,16.7,19.7,34.5,30.4,42.6,34.3,47.6,48,34.1,33,68.9,1,2015
Buffalo,MAC,49.6,49.8,18.8,17.7,31.8,28.7,41.6,37.8,49,48.8,33.7,34.3,72.9,1,2016
Kent St.,MAC,48.2,50.1,17.9,19,38.1,29.8,32.5,34.3,48.5,48.5,31.7,35.3,69.5,1,2017
Hampton,MEAC,45.6,46.4,20.2,20.1,31.8,30.9,43.8,45.5,45.6,44.5,30.4,33.9,69.6,1,2015
Hampton,MEAC,46.7,48.6,18.7,16.7,34.5,27.2,41.3,35.7,47.3,47.5,30.5,33.8,71.9,1,2016
Bradley,MVC,49.7,47.6,18.8,18.4,26.7,26.7,36.3,35.6,46.5,46.5,37,32.8,66.5,1,2019
Wyoming,MWC,52.2,47,18.8,17.9,22,27,40.4,27,54.4,44,32.6,34.9,59.2,1,2015
Fresno St.,MWC,48.4,48.8,15.1,21,30,29.7,37.7,46.4,47,48.4,34.4,33,69.8,1,2016
Nevada,MWC,52.5,48.3,15.5,15.9,30.4,26.3,41.3,28.2,49.2,49.3,38.2,31,71,1,2017
San Diego St.,MWC,51.7,48.6,17,19,31.6,25,35.1,29.6,52,47.8,34.1,33.2,70,1,2018
Nevada,MWC,53.7,47.7,14.6,19.2,27.2,24.9,40.8,28,54.9,46.3,34.7,33.2,70.8,1,2019
Utah St.,MWC,53.9,46.5,18.2,17.3,32,22.3,36.7,34.3,54.2,42.2,35.7,35.3,69.6,1,2019
Robert Morris,NEC,50.1,49.3,19.8,21.8,31,35.9,35.5,37.6,47.4,48.3,37.5,34.1,66,1,2015
Mount St. Mary's,NEC,51,49.9,19.2,21.7,23.1,34.8,32.4,32.6,49.4,49.5,35.8,34.1,68.3,1,2017
Fairleigh Dickinson,NEC,54.2,52,19.7,20.2,29.5,33.2,35.7,29.4,51,51.3,40.1,35.3,68,1,2019
Belmont,OVC,56.5,51.3,20.3,18.5,28.9,29.6,32.2,28.2,56.4,51.2,37.7,34.3,67.6,1,2015
Austin Peay,OVC,51.3,53.8,20.2,18.6,31.9,30,47,31.3,51,53.3,34.7,36.4,70.5,1,2016
Jacksonville St.,OVC,52.6,49.4,20.7,16.6,31.2,28.5,33.4,34.4,50.8,45.1,37.2,37.8,65,1,2017
Murray St.,OVC,55,47.2,17.6,18,32.9,27.6,37.3,30.5,54.4,47.6,37.2,30.9,67.8,1,2018
Belmont,OVC,57.6,48.7,15.2,16,25.3,25,28.5,27.4,59.2,47.2,37,34.4,72.5,1,2019
Arizona,P12,53.6,46.2,18.2,16,35,24.9,43.8,29.3,52.2,45.7,38.1,31.6,69.1,1,2016
California,P12,52.2,44.3,17.7,14.1,32.4,25.3,41.7,37.5,51.1,41.5,36.3,34.7,68.8,1,2016
Colorado,P12,48.4,46.8,18.8,15.4,34.8,24.8,40.5,35.7,43.9,44.3,38.6,35.3,69.9,1,2016
Oregon St.,P12,49.8,49.5,16.6,19.5,29,32.2,36.8,39.3,46.9,50,37.4,32.4,68,1,2016
USC,P12,52.2,47.3,16.6,16.7,32.1,31.6,35.1,28.3,49.4,46.6,38.7,32.5,72.1,1,2016
Arizona,P12,56.3,49.9,17.5,16.7,33.2,25.1,36.9,31.2,56.7,47.7,36.9,35.8,68.3,1,2018
Arizona St.,P12,50.6,48.5,18.7,19,31.7,26.9,43.8,38.6,50.8,47.3,33.6,33.4,71.9,1,2019
Lafayette,Pat,55.8,53.5,17.1,16.8,27.7,34.5,30.4,27.5,52.8,51.5,40.8,38,65.1,1,2015
Holy Cross,Pat,47.9,53.2,16.8,19.6,23.1,29.6,36.1,33.4,47.2,52.8,32.6,35.7,64.6,1,2016
Bucknell,Pat,55.3,48,18.9,19.7,26.8,27.9,37.2,33.1,54.3,46.5,37.9,34.2,71.4,1,2017
Bucknell,Pat,53.9,47.8,17,17,27,27.5,42.6,34.5,55,47,34.8,33.1,72.9,1,2018
Colgate,Pat,55.9,50.7,19.3,17.8,30.2,27.1,28.4,28.2,53.5,50.5,39.5,33.9,67.9,1,2019
Troy,SB,51.6,50.1,17.8,17.6,30.8,29.8,40.1,32.8,50.9,49.5,35.1,34.1,69.4,1,2017
Georgia St.,SB,53.9,47.1,16.7,20.6,25.6,33.4,30.9,38.6,50.9,44,38.7,33.8,67.7,1,2018
Georgia St.,SB,53.7,50.3,16.4,21,23,33.8,35.4,30.9,51.2,51.2,38.1,32.8,71.3,1,2019
Wofford,SC,51.1,47,17.2,20,29.4,27.7,37.6,36.4,49.1,47.3,36.8,30.9,61.2,1,2015
Chattanooga,SC,51.7,50.5,18,20.2,32.3,29,41.6,30.9,50.7,50.5,35.6,33.7,67.3,1,2016
East Tennessee St.,SC,55.8,48.7,20.8,22,30.1,27.4,42.8,38.2,55,45.7,38.2,35.4,71.5,1,2017
UNC Greensboro,SC,51.7,47.5,19.8,21.4,33.7,23.9,26,39.2,51.1,47.3,35,31.9,66.2,1,2018
Georgia,SEC,48.5,44.4,19.2,16.7,32.2,28.5,47.7,34.3,47.2,43.2,34.2,31.2,64.8,1,2015
LSU,SEC,50.3,44.6,20.2,19.1,33.9,32.9,33.5,29.4,50.1,43.9,33.9,30.9,70.1,1,2015
Mississippi,SEC,47.8,47.6,16.5,18.7,34.8,31.4,36.1,41.2,46.8,43.6,33.2,35.8,66.6,1,2015
Vanderbilt,SEC,52.1,48.1,18.2,16.1,24.8,27,34.8,30.7,48.1,46.8,37.6,33.8,67,1,2017
Arkansas,SEC,53.8,50.4,15.1,19.4,28.8,31.7,37.4,40.8,51.2,48.2,39.5,35.7,71.1,1,2018
Missouri,SEC,54.1,46.7,20.8,16,30.3,27.9,38.3,30.3,50.3,45.4,39,32.7,66.8,1,2018
Mississippi,SEC,53.1,51,18.2,20.6,30.2,29.3,30.9,33.5,52.7,48.2,35.8,37.4,69.7,1,2019
Mississippi St.,SEC,54.6,50.3,19.2,19.5,34.7,29.6,32.7,32.1,53.4,48.4,37.7,35.7,69,1,2019
Stephen F. Austin,Slnd,55.6,49,20.3,24.5,37.6,29.6,41.9,49.1,55.4,48.3,37.3,33.7,66.4,1,2015
Stephen F. Austin,Slnd,53.1,49.7,20.7,25.9,32,28.5,40.5,50.3,51.7,47.4,37.4,35.6,72.1,1,2018
Abilene Christian,Slnd,51.9,49.8,17.3,23.3,27,28.5,34,38.3,49.5,49.8,37.7,33.3,67.1,1,2019
North Dakota St.,Sum,49.7,48.1,16,16.5,26.1,23.7,35.7,30.7,45.5,45,38.2,36.2,61.5,1,2015
South Dakota St.,Sum,51.3,48,17.1,17.2,32.4,25.5,40.2,40.2,49.7,47.1,36.1,33.3,69.2,1,2016
South Dakota St.,Sum,53.2,53.8,18.4,16.2,27.1,28.9,39.9,27.1,52.7,52.4,35.8,36.9,68.5,1,2017
South Dakota St.,Sum,54.3,50,14,14.2,24.6,23.3,35.4,25.6,50.7,49.8,39.3,33.6,71.5,1,2018
