TEAM,CONF,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,POSTSEASON,YEAR
Cornell,Ivy,53.5,51.1,19.6,18.1,26.1,28.1,32.2,31.3,55.6,53,34.1,32.3,72,0,2022
Navy,Pat,47.5,47.3,19.9,20.4,33.8,24.8,30.8,31.7,47,45.7,32.3,33.2,64.8,0,2022
Oral Roberts,Sum,53.9,51.1,13.2,12.7,26.6,24.7,23,24.8,52.3,50.8,37.2,34.4,70.2,0,2022
Florida Gulf Coast,ASun,53.3,50.5,18.9,15.8,29.9,27.4,29.1,24,53.8,50.5,35.1,33.7,70.1,0,2022
Charlotte,CUSA,52.9,52.6,17.2,16.9,22.7,25.6,28,26.5,53.6,51.7,34.5,36.2,65.4,0,2022
Massachusetts,A10,51.3,55.2,16.6,18,29.3,29.7,32.8,29.3,48,54.7,37.1,37.4,69.1,0,2022
Georgia,SEC,50.2,54.6,20.7,15.7,25.8,30.1,39,24.1,51.3,56.1,32.1,34.9,68.8,0,2022
Weber St.,BSky,53.5,52.3,16.3,20.2,20,24.9,37.8,26.9,54.5,49.2,34.6,38.1,69.6,0,2022
Pittsburgh,ACC,46.7,52,21.2,16.5,30.5,26.1,39.4,29.4,46.5,49.5,31.4,36.8,64,0,2022
Tarleton St.,WAC,46.3,52.4,18.2,24.7,27,34,33.7,35.6,46.3,54.7,30.9,32.9,63.2,0,2022
Illinois St.,MVC,51.8,51,19.5,17.2,28.5,29.8,31.3,31.9,49.7,50.5,36.9,34.5,68,0,2022
UMKC,Sum,52.3,52,15.6,21,21.5,26.6,31.6,44.4,51.6,52.8,35.8,33.6,67.3,0,2022
Arkansas St.,SB,49.3,49.2,20.6,19.3,29.4,28.4,34.5,28.2,50,48.8,31.9,33.3,68.2,0,2022
Indiana St.,MVC,50.6,51.7,19.2,15.8,17.3,22.5,26.4,26.2,52.8,50.1,32,36.1,69.5,0,2022
Troy,SB,47.6,48.5,22.1,20.3,31.6,27.6,34.9,34.5,47.1,47.9,32.3,33.1,67.1,0,2022
Nicholls St.,Slnd,52.1,48.3,17.3,19.7,29.6,30.6,21.6,36.3,54.5,47.2,32.1,33.3,69.8,0,2022
Loyola Marymount,WCC,51.9,54.7,19.2,18.1,24.4,27.3,31.1,31.9,52.3,55,34.2,36,65.8,0,2022
Valparaiso,MVC,51,52.3,16.5,16.5,20.3,24.8,26.9,22.6,52.1,51.6,32.9,35.6,65.2,0,2022
UC Davis,BW,48.6,47.3,17.9,19.2,26.2,28.9,29.4,36.9,48.7,45.4,32.3,33.9,67.3,0,2022
Fort Wayne,Horz,53.1,53.4,19.2,21.6,22.4,27.1,27.4,25.9,51.9,53.6,36.4,35.4,68.3,0,2022
Niagara,MAAC,49.3,48.2,16.7,17.1,23.1,27.1,28.1,28.8,48.2,46.9,34,33.6,64.3,0,2022
Fairfield,MAAC,49.3,48.1,16.8,17,27.4,27.7,26.6,31.2,48.6,48.1,33.5,32.2,64.3,0,2022
Harvard,Ivy,49.6,52.1,17.5,20.7,25.2,23.8,24.5,32.6,50,49.8,32.6,37.1,67.2,0,2022
UNC Asheville,BSth,50.5,49.9,18.2,19,26.6,33,37.1,27.4,50.1,52.9,34.1,29,66.5,0,2022
South Dakota,Sum,52,52.7,15.1,15.5,26.5,22.4,34.1,34.2,50,51.7,37.3,36.2,65.8,0,2022
Oregon St.,P12,49.2,55,18.2,17.5,26.2,34,27.6,29.1,49.8,55.8,31.9,35.9,66.7,0,2022
Northern Colorado,BSky,56.2,52.9,17.1,13.9,21.9,24.6,30.8,30.1,55.6,50.7,37.9,38.2,69.3,0,2022
James Madison,CAA,51.1,53.3,17.7,20.6,25.9,31.5,30.6,27.5,50.9,55.7,34.2,33.7,69,0,2022
Cal Baptist,WAC,49.9,48.2,20.4,17.4,28.1,27.8,36.8,33.8,49.8,47.8,33.4,32.6,67.3,0,2022
Penn,Ivy,51.3,52.1,17,15.3,25.4,28,24.1,28.8,52,52.1,33.5,34.7,67.9,0,2022
San Diego,WCC,46.7,49.2,18.6,16,26.3,26.4,25.5,23.7,46.2,49,32.1,33.2,65.7,0,2022
George Washington,A10,48.9,49.6,17.9,18,23.2,31.1,26,29.2,48,51.4,33.7,30.7,69,0,2022
Rider,MAAC,45.6,49.2,17.3,18.4,29.4,28.3,27.2,33.2,44.9,47.3,31.6,34.4,67,0,2022
Detroit,Horz,52.6,54.4,17.9,19,27.9,29.7,22.8,30.5,50.1,55.4,36.9,35.3,64.9,0,2022
Dartmouth,Ivy,48.2,50.8,17.4,19,23.6,26.6,24.5,28.4,46.6,50.5,33.4,34.2,64.7,0,2022
Marist,MAAC,50.4,48.3,18.2,16.7,26.4,27.1,25,28.5,49.7,47.1,34.4,33.4,66.3,0,2022
Brown,Ivy,49.4,51.1,19.1,19.5,28.2,28.1,31.6,33.2,50.6,51.3,31.7,33.9,67.5,0,2022
La Salle,A10,47.8,50,19,16.7,29,27.4,25.1,31,47.6,47.8,32,35.9,67.5,0,2022
Boston University,Pat,51.9,50.9,18.2,16.5,30.9,24.2,28.8,29,51.6,51,34.9,33.8,64.9,0,2022
Southeast Missouri St.,OVC,51.6,52.4,17.8,18.1,25.8,28.9,36.7,39.6,50.6,52.8,35.4,34.6,71.6,0,2022
High Point,BSth,48.9,49.5,19.5,17.7,27.4,30.2,33.9,35.3,49.4,52.1,32,30.1,66.4,0,2022
Kennesaw St.,ASun,51.8,53.1,17.4,18.2,28.7,27.9,29.7,35.3,50.3,52.1,36.2,36.2,66.3,0,2022
Northeastern,CAA,50.1,51.7,21.2,15.7,26.3,23.7,30.6,25.6,51.6,51.9,32,34.3,64.6,0,2022
Eastern Washington,BSky,52.9,50.4,18.5,15.6,25.3,26,32.9,31.5,51.9,50.4,36.1,33.6,69.7,0,2022
UT Arlington,SB,45.7,49.4,20.3,20.3,30.5,31.7,29.7,32.3,45.3,46.8,31,35.5,65.4,0,2022
Southern,SWAC,49.2,49.2,20.4,25.2,27.5,31.1,33.6,45.7,47.5,52.9,35,28.4,70.3,0,2022
Marshall,CUSA,49.4,52,18.1,17.8,27.3,28.1,24.3,28.3,52.1,51.6,30.1,35.3,72.4,0,2022
Stony Brook,AE,50.3,52.6,15.5,17.4,27.4,29.7,27.7,23.8,49.9,54.1,34,33.6,68.2,0,2022
South Florida,Amer,41.3,48.3,19.1,18.9,29.8,27,25.4,33.6,42.8,46.6,25.2,33.8,65,0,2022
Quinnipiac,MAAC,50,50.6,18.7,17.2,28.6,28.6,27,27.2,49.2,47.6,34,37.1,68.9,0,2022
UMBC,AE,52.6,52.8,16.2,16.6,21.9,28.8,31.1,19.7,48.9,52.7,38.3,35.2,68.3,0,2022
Siena,MAAC,48.7,49.1,18.4,17.3,24.5,28.5,28.9,29.2,46.3,48.7,35.6,33.3,66.3,0,2022
New Hampshire,AE,50.9,50.4,14.8,14,27.9,21.9,25.4,26.6,48.1,49.8,36.6,34.2,61.9,0,2022
Rice,CUSA,52.9,50.8,18.4,14.3,26.1,28.2,31.2,21.1,51.9,51.6,36.2,32.9,67.6,0,2022
LIU Brooklyn,NEC,48.4,48.5,18.5,18.2,30.6,29.7,30.4,29.7,49.6,48.8,31,32,72.5,0,2022
Youngstown St.,Horz,51,51,17.3,17.1,29.8,28.3,30.4,30.3,50.8,50.7,34.1,34.3,66.6,0,2022
The Citadel,SC,52,50.4,17.1,13.8,23.7,29.4,29.9,26.3,51.7,50.9,34.8,33.1,70.4,0,2022
Montana,BSky,50.2,51.8,15.7,19.1,18.1,26.8,38.5,42.8,49.9,49.9,33.9,37.5,65.3,0,2022
Howard,MEAC,50.4,49.4,20.7,23.5,28,34.5,36.2,33.9,47.8,48.6,36.2,34,70.4,0,2022
Ball St.,MAC,51.3,52.4,19.5,17.1,26.8,28.3,38.1,32.8,49.8,50.8,35.7,36.3,70,0,2022
Georgia Southern,SB,47.8,48.2,21.1,18.9,27.7,31,31.6,35.5,50.1,47.3,29.2,33,66,0,2022
Tennessee Tech,OVC,49.2,51.5,18.9,18.1,30.9,30.5,24,24,49.2,53.4,32.9,32.4,69.1,0,2022
Elon,CAA,49,50.6,19.9,16.6,25.4,28.8,25.9,43.8,48.6,49.9,33,34.5,66,0,2022
Lipscomb,ASun,52.3,51.5,19,14.1,22.7,28,33.9,22.7,53.2,48.1,34,37.5,69.3,0,2022
Mount St. Mary's,NEC,48.6,48.6,20.1,18.9,31,29.1,26.3,26.2,47.6,47.4,33.9,33.9,63.5,0,2022
Miami OH,MAC,50.3,53.5,15,18,26,30.2,23.7,30.4,49.5,52.5,34.3,36.7,67.5,0,2022
Western Illinois,Sum,49.6,52.9,15.9,17.3,28.8,22.7,29.4,31.4,49.8,51.3,33,37.4,70.5,0,2022
Portland St.,BSky,47.1,52.7,17,23.4,26.1,31.8,31.6,39.4,48.4,51.2,29.7,36.7,70.6,0,2022
Eastern Kentucky,ASun,48.4,54.6,15.6,22.3,28.7,31.8,21.7,28.1,46,56.6,33.9,34.4,71,0,2022
Tennessee St.,OVC,49,50.1,19.8,19.7,29.7,28.6,30.4,39.2,47.6,49.8,34.6,33.7,67.4,0,2022
Pepperdine,WCC,47.5,52.7,20.4,18,26.3,31,23.9,31.5,45.6,54.6,34.1,32.9,70.2,0,2022
Air Force,MWC,50.9,51.5,21.5,20.3,19.6,29.4,26.8,38.9,51.6,53.8,33.3,31.2,63.2,0,2022
Louisiana Monroe,SB,50.2,52.9,18.9,19.4,24.7,33.4,26,34.7,50.5,52,33.2,36.2,67.8,0,2022
USC Upstate,BSth,51.3,51.6,18.7,17.8,22.3,30.8,29,38.3,49.3,52.8,36.4,33.3,68.5,0,2022
North Florida,ASun,48.1,48.8,21.6,16.7,25.2,36.9,30.4,28.7,47.7,48,32.4,33.9,68.1,0,2022
UC San Diego,BW,52,52.7,18.9,17.2,18.6,27.6,32.7,22,50.3,54.3,36,32.9,67.9,0,2022
Manhattan,MAAC,48.3,52.2,20.5,19.9,30,30.9,41.4,34.7,50,52.9,29.9,33.9,68.5,0,2022
Presbyterian,BSth,45.4,53.5,19.5,21.1,33.1,24.6,30.2,40.7,49,51,26.1,38.4,64.1,0,2022
Southeastern Louisiana,Slnd,51.8,53.7,20,19.6,25.9,33.2,38.8,27.3,51.9,55.4,34.4,34,70.3,0,2022
Bowling Green,MAC,48.6,53.5,16.5,17.3,29.9,30.7,31.9,30.8,48,53.1,33.1,36,72.7,0,2022
UMass Lowell,AE,48,48.9,18.3,19.5,29.2,29.9,26.5,32.5,49.3,45.6,30.2,37,67.6,0,2022
Radford,BSth,46.5,52,20.6,20.2,28.9,26,27.8,37.4,47.7,51.3,29.8,35.4,64.3,0,2022
San Jose St.,MWC,49.7,53.5,20,15.7,22,30.5,22.5,27,48.2,53.4,34.3,35.8,65.5,0,2022
Utah Tech,WAC,46.5,50.9,21,17.8,26.7,28.9,35.2,30.7,47.8,51.7,29.5,33,71.6,0,2022
Illinois Chicago,Horz,51.1,51.6,17.2,16.8,25,27.2,22.9,34.2,53.3,50,32.4,37.4,68.9,0,2022
FIU,CUSA,49.9,50.2,20.1,18.5,27,29.8,24.6,31.4,49,50.2,34,33.4,66.7,0,2022
Pacific,WCC,46.2,54.9,17.4,18.7,22.6,22.6,32.3,28.1,45.8,52.1,31.4,39.2,68,0,2022
Prairie View A&M,SWAC,48.4,51,24,20.6,31.7,34.2,38.5,44.8,46.8,49.6,34.5,35.7,70.7,0,2022
Canisius,MAAC,45.4,51.5,16.9,17.8,28,26.3,30.2,32.2,45.5,53.7,30.2,31.2,68.3,0,2022
Hartford,AE,53.3,51.6,18.2,16.5,23.8,28.4,27.6,28.9,51.5,50.4,36.9,35.7,67.1,0,2022
North Carolina A&T,BSth,46.6,51,18.1,19.9,29.2,30.8,28.2,37.8,46.3,50.1,31.5,34.8,67.7,0,2022
Austin Peay,OVC,46.6,52.5,21.3,20.9,29.5,30.4,25.7,36.1,46.9,54.1,30.8,33.2,64.6,0,2022
St. Thomas,Sum,52,58.9,12.6,16.1,20.7,27.1,23.7,32.5,52.5,58,34.4,40.1,65.5,0,2022
Jackson St.,SWAC,45.3,47.7,19.9,18.3,31.4,27.9,26.5,36.6,45.5,47.5,30,32.2,63.9,0,2022
Duquesne,A10,45.4,54,16.9,19,29.2,31.5,21.9,21.9,45.2,51.3,30.5,39.8,65.9,0,2022
New Orleans,Slnd,49.4,50.1,19.3,19.7,26,30.8,42,32.8,50.4,51.1,30.8,32.3,71.9,0,2022
SIU Edwardsville,OVC,46.7,49,21.6,19.2,31.1,30.6,34.5,37.6,48.1,48.7,29.5,33,68.4,0,2022
Loyola MD,Pat,50.4,51.4,19.5,20.6,25.2,26.1,25,30.7,51.7,51.3,32.1,34.3,65.3,0,2022
Army,Pat,48.8,52.8,18.9,19.4,29.8,27.2,32.1,22.9,49.3,51.6,31.9,36.4,69,0,2022
Central Arkansas,ASun,48.2,54.8,18.8,16.4,26.2,30.9,23.1,29.8,50.3,55.8,29.5,35.3,72.1,0,2022
Cal St. Bakersfield,BW,44.4,51.4,18,20.1,32,26.1,29.5,48,44.9,50.5,28.3,35.2,64.4,0,2022
Tennessee Martin,OVC,46.1,50.8,19.4,18.4,29.8,31.8,26.3,37.2,47,51.2,29.7,33.4,69.1,0,2022
Merrimack,NEC,48.6,49.1,18.5,22.6,22.5,36.2,26,33.9,47.8,48.8,33.3,33.2,62.2,0,2022
Albany,AE,46.2,50.7,18.7,20.7,26.1,27.2,24.9,31.8,45.2,49.1,32.3,35.5,65.3,0,2022
Western Carolina,SC,47.9,53.2,17.7,14.3,28.6,28.5,27.8,28.7,49,52.6,31.3,36,68.4,0,2022
Denver,Sum,52.7,52.4,18.6,16.5,23.7,28.1,32,32.2,51.1,50.9,37.1,36.4,66.5,0,2022
Cal Poly,BW,46.1,48.1,22.6,17,27.3,26.9,36.3,36.8,47.2,44.5,29.5,36.2,64.6,0,2022
